,0
1085,1.0
9438,1.0
8182,1.0
5647,1.0
1839,0.989
8345,0.975
6688,0.964
6118,0.959
4698,0.951
3032,0.942
3033,0.094
6690,0.094
6692,0.086
6693,0.084
4699,0.078
6689,0.078
1838,0.064
1837,0.06
2765,0.049
8759,0.043
5110,0.042
1904,0.042
5646,0.041
2773,0.04
6210,0.04
7940,0.039
3915,0.036
5648,0.036
1690,0.035
649,0.033
9843,0.032
1612,0.03
6432,0.03
365,0.028
7653,0.027
9921,0.025
5216,0.025
6480,0.025
9442,0.025
4063,0.024
6135,0.024
9351,0.024
9439,0.024
3906,0.024
3649,0.024
9441,0.023
1695,0.023
6361,0.023
4962,0.023
9274,0.023
726,0.022
129,0.021
6169,0.021
9440,0.021
7933,0.021
3001,0.021
4970,0.021
9314,0.02
9277,0.02
8044,0.02
5444,0.02
6145,0.019
187,0.019
4384,0.018
2433,0.018
4922,0.018
1889,0.018
4939,0.017
8057,0.017
8723,0.017
9903,0.016
6493,0.016
9123,0.016
5981,0.015
2781,0.015
1163,0.014
9624,0.014
1719,0.011
368,0.011
1763,0.01
6206,0.01
8390,0.01
4597,0.009
9778,0.009
1718,0.009
9994,0.009
6763,0.009
6954,0.009
2101,0.009
9777,0.009
784,0.009
5020,0.009
8820,0.008
5088,0.008
5366,0.008
2661,0.008
5112,0.008
207,0.008
8927,0.008
6482,0.008
3535,0.008
4092,0.008
9577,0.008
6094,0.008
6062,0.008
4451,0.008
8428,0.008
6443,0.008
474,0.008
8706,0.008
9191,0.007
3009,0.007
5759,0.007
4789,0.007
2964,0.007
8093,0.007
1351,0.007
856,0.007
3967,0.007
3584,0.007
6481,0.007
3735,0.007
816,0.007
9492,0.007
9132,0.007
1678,0.007
8328,0.007
9171,0.007
1474,0.007
9299,0.007
5423,0.007
1561,0.007
3473,0.007
1994,0.007
6106,0.007
2572,0.007
6360,0.007
7051,0.007
9164,0.007
7842,0.006
1950,0.006
735,0.006
7689,0.006
6806,0.006
1560,0.006
5099,0.006
221,0.006
8958,0.006
8143,0.006
9003,0.006
2443,0.006
253,0.006
9354,0.006
4211,0.006
3489,0.006
1182,0.006
9372,0.006
2369,0.006
9620,0.006
5048,0.006
2728,0.006
8412,0.006
2456,0.006
3266,0.006
8768,0.006
7624,0.006
8770,0.006
674,0.006
5210,0.006
1457,0.006
7045,0.006
6479,0.006
6005,0.006
4997,0.006
36,0.006
1250,0.006
1932,0.006
8372,0.006
7199,0.006
3608,0.006
1127,0.006
9504,0.006
4495,0.006
3115,0.006
2051,0.006
1827,0.006
8799,0.006
3046,0.006
9976,0.006
5827,0.006
2125,0.006
1693,0.006
1694,0.006
8543,0.006
4688,0.006
